Testing size of 20000--------------,,,,Recursion limit (x),20k,40k,60k,80k,100k,200k,400k,500k,550k,600k,670k,700k,800k,1 million,2 million,3 million,4 million,5 million ,6 million,8 million,
108,11,,,108,11,8,10,15,18,69,175,200,299,215,360,705,342,773,1227,3015,2283,4228,5197,7428,
110,9,,,110,9,7,10,15,18,71,168,238,286,245,340,819,385,816,1192,2993,2227,4213,5490,7593,
112,9,,,112,9,7,10,15,18,70,156,209,293,241,349,711,345,861,1236,2930,2234,4311,5569,7759,
114,6,,,114,6,7,10,15,17,75,159,231,287,262,342,943,409,805,1183,2875,2194,4278,5242,8384,
116,7,,,116,7,7,11,15,18,76,188,210,288,259,354,679,363,831,1305,2869,2212,4331,5384,7680,
118,9,,,118,9,8,11,15,18,73,165,219,327,229,350,594,397,827,1888,2896,2221,4613,5534,7522,
120,10,,,120,10,7,11,16,18,81,155,230,314,219,359,715,368,840,1879,2993,2306,4374,5584,7620,
122,8,,,122,8,8,11,15,19,76,168,205,303,260,381,673,400,841,1895,2928,2277,4357,5509,7861,
124,7,,,124,7,7,10,15,24,82,178,221,300,234,477,645,376,820,1862,2962,2328,4458,5428,7621,
126,5,,,126,5,7,12,14,22,78,173,245,316,263,423,469,405,826,1845,3003,2339,4502,5740,7645,
128,4,,,128,4,8,11,15,20,79,164,216,306,263,369,473,368,858,1829,2987,2912,4413,5684,7767,
130,5,,,130,5,8,11,14,20,77,177,237,328,235,361,526,407,844,1861,3240,2325,4477,5554,7764,
132,4,,,132,4,8,11,14,20,76,184,232,328,239,383,838,395,859,1855,3092,2360,4515,6024,7880,
134,4,,,134,4,7,11,18,19,79,177,228,309,260,386,830,423,842,1900,3001,2322,4491,5723,7863,
136,4,,,136,4,8,11,21,19,77,171,250,331,238,403,723,386,875,1918,3182,2336,4682,5542,8196,
138,4,,,138,4,7,11,17,19,79,164,246,332,287,372,719,425,871,1986,3048,2407,5121,5721,7923,
140,6,,,140,6,8,11,16,19,78,198,234,329,264,401,794,432,845,1871,3115,2369,4834,5730,7949,
142,4,,,142,4,8,11,16,19,78,182,245,356,257,400,583,432,866,1932,3328,3696,4666,5727,8090,
144,5,,,144,5,8,12,16,20,89,188,234,343,257,400,375,455,929,1862,3165,4213,4639,5908,8024,
146,7,,,146,7,7,12,16,19,85,172,267,335,279,394,391,552,891,1910,3210,2866,4745,5918,8057,
148,6,,,148,6,7,12,20,20,84,205,231,339,248,395,414,438,885,1877,3143,3032,4674,5776,8373,
150,5,,,150,5,8,12,17,20,81,191,238,328,289,416,354,447,899,1927,3541,2779,4707,5845,8309,
152,5,,,152,5,7,12,16,20,83,186,268,369,272,454,358,403,895,2052,3199,2568,4862,6043,8467,
154,4,,,154,4,10,12,16,19,87,178,235,337,285,561,365,449,923,1957,3212,2660,4925,5885,8143,
156,5,,,156,5,9,12,16,20,90,205,242,402,259,409,395,422,1003,2045,3145,2615,4716,5945,8335,
158,5,,,158,5,8,13,16,19,86,187,274,403,262,435,394,438,1075,2007,3267,2608,4792,5917,8451,
160,4,,,160,4,8,13,16,24,90,186,249,405,271,414,408,411,913,2294,3160,2626,5027,6292,8680,
162,4,,,162,4,8,12,16,30,103,185,276,348,331,443,375,454,930,2220,3226,2640,4719,6173,8417,
164,5,,,164,5,8,13,16,25,98,220,244,378,275,430,402,433,1064,2032,3200,2719,4873,5911,8468,
166,5,,,166,5,8,13,17,23,89,212,253,359,285,419,415,470,908,1988,3407,2711,4884,6024,8739,
168,5,,,168,5,8,14,18,23,88,208,284,356,286,453,377,423,939,2073,3287,2710,4843,6233,8349,
170,4,,,170,4,8,14,17,22,94,203,251,363,284,429,390,468,925,2051,3738,2756,4766,5949,8460,
172,4,,,172,4,8,18,17,22,93,225,259,376,285,450,406,437,988,2169,3332,2728,4832,6123,8691,
174,4,,,174,4,8,14,20,22,91,209,287,368,344,458,399,465,949,2267,3566,2763,5100,6189,9006,
176,5,,,176,5,8,14,18,25,99,192,259,392,301,444,423,449,962,2153,3441,2833,5029,6197,8599,
178,5,,,178,5,9,14,17,22,108,199,322,366,297,448,414,579,933,2086,3392,2857,5016,6397,8831,
180,4,,,180,4,10,14,19,22,98,223,267,381,288,463,406,677,987,2158,3417,2859,5041,6169,8662,
182,4,,,182,4,11,14,18,23,93,204,267,377,300,457,424,865,990,2162,3436,2902,5310,6326,8682,
184,4,,,184,4,9,14,18,23,95,205,309,390,289,460,429,763,946,2238,3403,2878,5073,6186,8883,
186,4,,,186,4,10,14,18,24,106,209,269,390,351,464,440,802,990,2108,3494,2921,5614,6392,8769,
188,4,,,188,4,9,15,18,23,101,230,275,395,305,488,395,745,995,2018,3384,2949,5116,6318,8936,
190,4,,,190,4,9,17,19,23,97,207,307,383,304,474,420,824,993,1872,3412,2912,5601,6321,8772,
192,4,,,192,4,9,15,18,25,103,208,274,393,320,474,428,755,1001,1802,3424,3046,5512,6523,9131,
194,4,,,194,4,9,13,18,28,103,219,300,403,322,472,433,803,1013,2150,3496,3179,5410,6661,9140,
196,4,,,196,4,8,13,17,25,102,241,285,393,309,478,416,777,993,2451,3403,3049,5989,6365,9059,
198,4,,,198,4,10,13,17,24,102,222,282,419,347,488,403,801,1034,2235,3416,2991,5274,6740,9060,
200,4,,,200,4,9,14,18,23,104,228,314,444,320,481,463,772,1319,2185,3533,3063,5235,6376,9050,
202,4,,,202,4,9,14,18,23,102,219,278,433,313,484,415,892,1395,2199,3518,3024,5237,6672,9158,
204,4,,,204,4,9,14,18,23,100,237,290,392,354,518,448,793,1380,2260,3564,3070,5338,6715,8970,
206,4,,,206,4,10,13,18,26,104,226,306,405,425,495,422,837,1378,2282,3479,3269,5282,6615,9523,
208,4,,,208,4,9,14,17,22,115,222,295,423,356,492,422,792,1188,2338,3542,3123,5351,6696,9479,
210,4,,,210,4,9,14,18,23,105,227,315,462,372,502,459,858,1370,2250,3607,3284,5346,7141,9303,
212,4,,,212,4,9,14,17,22,100,241,302,420,319,516,436,827,1234,2319,3503,3101,5296,6598,9357,
214,4,,,214,4,10,14,17,22,103,235,315,423,327,517,486,886,963,2260,3522,3164,5435,6761,9573,
216,4,,,216,4,11,13,18,22,115,227,326,417,336,507,445,837,820,2299,3564,3183,5294,6851,9659,
218,4,,,218,4,9,14,18,23,117,220,315,434,340,508,428,867,1147,2279,3566,4069,5506,6721,9756,
220,4,,,220,4,9,14,18,23,116,259,296,440,334,512,441,812,1052,2315,3595,3762,5508,6736,9501,
222,4,,,222,4,9,14,19,26,120,238,320,436,557,522,475,859,1160,2250,3571,3160,5428,6922,9472,
224,5,,,224,5,9,14,19,27,108,254,301,442,551,512,445,810,834,2351,3625,3158,5444,6921,9502,
226,6,,,226,6,9,14,19,25,110,248,324,447,461,535,456,878,1081,2575,3686,3209,5418,6996,9972,
228,5,,,228,5,9,14,20,25,124,262,312,439,437,549,450,846,1283,2368,3723,3203,5481,6937,9753,
230,5,,,230,5,10,14,19,25,112,232,317,434,407,562,452,865,1203,2404,3749,3714,5393,6893,9804,
232,4,,,232,4,10,14,20,24,115,247,335,453,421,601,492,842,1328,2350,3613,3243,5463,7093,9954,
234,4,,,234,4,10,14,20,24,113,231,316,458,437,643,441,908,1421,2308,3728,3257,5900,7117,9805,
236,4,,,236,4,9,14,19,26,113,259,370,454,390,591,466,837,1291,2372,3678,3223,5459,6988,9943,
238,4,,,238,4,11,14,19,25,108,249,416,453,408,604,484,879,940,2382,4393,3294,5576,7087,9820,
240,5,,,240,5,9,14,19,24,110,241,333,458,374,604,474,828,918,2337,4028,3281,5613,7133,10064,
242,4,,,242,4,9,14,19,25,118,248,352,452,382,632,497,945,853,2527,3899,3390,5614,7188,9925,
244,5,,,244,5,9,14,19,25,113,273,324,507,372,615,463,874,828,2417,3828,3327,5656,7195,10416,
246,5,,,246,5,9,15,20,24,120,246,331,466,549,673,482,918,802,2462,4213,3396,5839,7185,8574,
248,4,,,248,4,9,15,22,24,122,241,351,456,1128,573,464,862,768,2518,4818,3234,5736,7207,11089,
250,5,,,250,5,9,15,20,24,119,260,342,462,1010,561,496,930,772,2428,4089,3299,5737,7264,11762,
252,5,,,252,5,9,15,20,26,116,276,354,480,1207,564,495,873,1112,2462,3928,3333,5793,7427,10967,
254,5,,,254,5,9,15,20,27,123,259,373,504,910,567,475,920,1324,2462,3910,3385,5948,7249,9920,
256,5,,,256,5,9,15,20,26,125,257,334,483,784,733,478,968,1160,2450,4141,3417,5853,7275,10160,
258,5,,,258,5,10,16,21,30,129,253,360,490,784,612,483,935,1283,2500,4211,3399,5853,7290,10120,
260,5,,,260,5,10,15,21,27,128,282,337,487,503,643,522,889,1314,2563,4145,3300,5878,7259,10182,
262,6,,,262,6,10,17,20,26,123,262,339,468,431,645,477,942,1242,2559,3954,3347,6080,7303,10243,
264,6,,,264,6,10,15,21,26,122,259,361,485,410,615,504,924,1285,2544,3937,3328,5999,7311,10290,
266,7,,,266,7,10,16,22,26,125,264,335,521,408,621,501,963,1209,2576,4178,3610,5883,7616,10723,
268,6,,,268,6,10,17,22,25,123,291,344,496,424,632,483,904,1226,2569,4001,3444,6003,7490,10393,
270,5,,,270,5,11,16,22,26,127,263,371,493,445,629,543,973,1206,2598,4020,3544,6085,7412,10600,
272,6,,,272,6,10,17,21,26,131,272,348,502,410,639,499,911,1167,2622,4068,3497,5971,7708,10443,
274,6,,,274,6,10,17,20,27,125,270,370,501,447,655,493,982,1252,2602,4072,3436,6219,7385,10605,
276,5,,,276,5,11,17,21,27,128,303,348,516,434,870,504,908,1248,2598,4134,3471,6098,7491,10565,
278,5,,,278,5,10,17,21,27,131,273,357,521,459,1012,554,992,1225,2710,4268,3490,6008,7659,10626,
280,5,,,280,5,10,17,21,27,131,277,384,516,444,678,499,917,1297,2592,4069,3495,6160,7515,10643,
282,5,,,282,5,10,16,21,27,141,278,350,497,440,628,505,1017,1381,2678,4135,3451,6080,7589,10801,
284,5,,,284,5,10,16,22,29,138,298,354,506,410,643,527,964,1401,2617,4141,3425,6024,7606,10853,
286,5,,,286,5,10,16,22,29,129,284,373,523,439,608,512,1030,1261,2651,4240,3510,6174,7707,10942,
288,5,,,288,5,11,16,25,28,131,349,372,540,511,648,539,993,1219,2695,4077,3588,6314,7723,10864,
290,5,,,290,5,11,16,23,28,131,313,387,516,789,635,548,1012,1332,2790,4166,3924,6107,7663,11004,
292,5,,,292,5,10,18,22,30,134,309,369,547,789,644,536,976,1304,2777,4186,6091,6330,7950,10863,
294,5,,,294,5,10,17,23,29,131,280,359,526,893,632,520,1032,1356,2913,4406,6909,6263,7859,11001,
296,6,,,296,6,10,17,23,29,135,282,405,528,850,662,550,1005,1285,2737,4536,4462,6287,7866,10825,
298,5,,,298,5,10,16,23,29,134,301,389,595,628,640,572,1090,1301,2945,4189,5546,6204,8177,10657,
300,5,,,300,5,11,17,24,30,133,300,370,551,576,664,539,969,1377,2817,4259,4944,6269,7806,10960,
296,6,,,,,,,,,,,,,,,,,,,,,,,,
298,5,,,,,,,,,,,,,,,,,,,,,,,,
300,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 40000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,,,,,,,,,,,,,,,,,,,,,,,,
4,6,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,
8,6,,,,,,,,,,,,,,,,,,,,,,,,
10,5,,,,,,,,,,,,,,,,,,,,,,,,
12,5,,,,,,,,,,,,,,,,,,,,,,,,
14,6,,,,,,,,,,,,,,,,,,,,,,,,
16,6,,,,,,,,,,,,,,,,,,,,,,,,
18,5,,,,,,,,,,,,,,,,,,,,,,,,
20,5,,,,,,,,,,,,,,,,,,,,,,,,
22,5,,,,,,,,,,,,,,,,,,,,,,,,
24,5,,,,,,,,,,,,,,,,,,,,,,,,
26,5,,,,,,,,,,,,,,,,,,,,,,,,
28,5,,,,,,,,,,,,,,,,,,,,,,,,
30,6,,,,,,,,,,,,,,,,,,,,,,,,
32,5,,,,,,,,,,,,,,,,,,,,,,,,
34,5,,,,,,,,,,,,,,,,,,,,,,,,
36,5,,,,,,,,,,,,,,,,,,,,,,,,
38,5,,,,,,,,,,,,,,,,,,,,,,,,
40,5,,,,,,,,,,,,,,,,,,,,,,,,
42,6,,,,,,,,,,,,,,,,,,,,,,,,
44,5,,,,,,,,,,,,,,,,,,,,,,,,
46,6,,,,,,,,,,,,,,,,,,,,,,,,
48,6,,,,,,,,,,,,,,,,,,,,,,,,
50,7,,,,,,,,,,,,,,,,,,,,,,,,
52,6,,,,,,,,,,,,,,,,,,,,,,,,
54,6,,,,,,,,,,,,,,,,,,,,,,,,
56,6,,,,,,,,,,,,,,,,,,,,,,,,
58,7,,,,,,,,,,,,,,,,,,,,,,,,
60,6,,,,,,,,,,,,,,,,,,,,,,,,
62,6,,,,,,,,,,,,,,,,,,,,,,,,
64,6,,,,,,,,,,,,,,,,,,,,,,,,
66,6,,,,,,,,,,,,,,,,,,,,,,,,
68,6,,,,,,,,,,,,,,,,,,,,,,,,
70,6,,,,,,,,,,,,,,,,,,,,,,,,
72,6,,,,,,,,,,,,,,,,,,,,,,,,
74,6,,,,,,2,,,,,,,,,,,,,,,,,,
76,6,,,,,,,,,,,,,,,,,,,,,,,,
78,6,,,,,,,,,,,,,,,,,,,,,,,,
80,7,,,,,,,,,,,,,,,,,,,,,,,,
82,7,,,,,,,,,,,,,,,,,,,,,,,,
84,8,,,,,,,,,,,,,,,,,,,,,,,,
86,7,,,,,,,,,,,,,,,,,,,,,,,,
88,7,,,,,,,,,,,,,,,,,,,,,,,,
90,8,,,,,,,,,,,,,,,,,,,,,,,,
92,6,,,,,,,,,,,,,,,,,,,,,,,,
94,7,,,,,,,,,,,,,,,,,,,,,,,,
96,7,,,,,,,,,,,,,,,,,,,,,,,,
98,7,,,,,,,,,,,,,,,,,,,,,,,,
100,6,,,,,,,,,,,,,,,,,,,,,,,,
102,7,,,,,,,,,,,,,,,,,,,,,,,,
104,6,,,,,,,,,,,,,,,,,,,,,,,,
106,8,,,,,,,,,,,,,,,,,,,,,,,,
108,8,,,,,,,,,,,,,,,,,,,,,,,,
110,7,,,,,,,,,,,,,,,,,,,,,,,,
112,7,,,,,,,,,,,,,,,,,,,,,,,,
114,7,,,,,,,,,,,,,,,,,,,,,,,,
116,7,,,,,,,,,,,,,,,,,,,,,,,,
118,8,,,,,,,,,,,,,,,,,,,,,,,,
120,7,,,,,,,,,,,,,,,,,,,,,,,,
122,8,,,,,,,,,,,,,,,,,,,,,,,,
124,7,,,,,,,,,,,,,,,,,,,,,,,,
126,7,,,,,,,,,,,,,,,,,,,,,,,,
128,8,,,,,,,,,,,,,,,,,,,,,,,,
130,8,,,,,,,,,,,,,,,,,,,,,,,,
132,8,,,,,,,,,,,,,,,,,,,,,,,,
134,7,,,,,,,,,,,,,,,,,,,,,,,,
136,8,,,,,,,,,,,,,,,,,,,,,,,,
138,7,,,,,,,,,,,,,,,,,,,,,,,,
140,8,,,,,,,,,,,,,,,,,,,,,,,,
142,8,,,,,,,,,,,,,,,,,,,,,,,,
144,8,,,,,,,,,,,,,,,,,,,,,,,,
146,7,,,,,,,,,,,,,,,,,,,,,,,,
148,7,,,,,,,,,,,,,,,,,,,,,,,,
150,8,,,,,,,,,,,,,,,,,,,,,,,,
152,7,,,,,,,,,,,,,,,,,,,,,,,,
154,10,,,,,,,,,,,,,,,,,,,,,,,,
156,9,,,,,,,,,,,,,,,,,,,,,,,,
158,8,,,,,,,,,,,,,,,,,,,,,,,,
160,8,,,,,,,,,,,,,,,,,,,,,,,,
162,8,,,,,,,,,,,,,,,,,,,,,,,,
164,8,,,,,,,,,,,,,,,,,,,,,,,,
166,8,,,,,,,,,,,,,,,,,,,,,,,,
168,8,,,,,,,,,,,,,,,,,,,,,,,,
170,8,,,,,,,,,,,,,,,,,,,,,,,,
172,8,,,,,,,,,,,,,,,,,,,,,,,,
174,8,,,,,,,,,,,,,,,,,,,,,,,,
176,8,,,,,,,,,,,,,,,,,,,,,,,,
178,9,,,,,,,,,,,,,,,,,,,,,,,,
180,10,,,,,,,,,,,,,,,,,,,,,,,,
182,11,,,,,,,,,,,,,,,,,,,,,,,,
184,9,,,,,,,,,,,,,,,,,,,,,,,,
186,10,,,,,,,,,,,,,,,,,,,,,,,,
188,9,,,,,,,,,,,,,,,,,,,,,,,,
190,9,,,,,,,,,,,,,,,,,,,,,,,,
192,9,,,,,,,,,,,,,,,,,,,,,,,,
194,9,,,,,,,,,,,,,,,,,,,,,,,,
196,8,,,,,,,,,,,,,,,,,,,,,,,,
198,10,,,,,,,,,,,,,,,,,,,,,,,,
200,9,,,,,,,,,,,,,,,,,,,,,,,,
202,9,,,,,,,,,,,,,,,,,,,,,,,,
204,9,,,,,,,,,,,,,,,,,,,,,,,,
206,10,,,,,,,,,,,,,,,,,,,,,,,,
208,9,,,,,,,,,,,,,,,,,,,,,,,,
210,9,,,,,,,,,,,,,,,,,,,,,,,,
212,9,,,,,,,,,,,,,,,,,,,,,,,,
214,10,,,,,,,,,,,,,,,,,,,,,,,,
216,11,,,,,,,,,,,,,,,,,,,,,,,,
218,9,,,,,,,,,,,,,,,,,,,,,,,,
220,9,,,,,,,,,,,,,,,,,,,,,,,,
222,9,,,,,,,,,,,,,,,,,,,,,,,,
224,9,,,,,,,,,,,,,,,,,,,,,,,,
226,9,,,,,,,,,,,,,,,,,,,,,,,,
228,9,,,,,,,,,,,,,,,,,,,,,,,,
230,10,,,,,,,,,,,,,,,,,,,,,,,,
232,10,,,,,,,,,,,,,,,,,,,,,,,,
234,10,,,,,,,,,,,,,,,,,,,,,,,,
236,9,,,,,,,,,,,,,,,,,,,,,,,,
238,11,,,,,,,,,,,,,,,,,,,,,,,,
240,9,,,,,,,,,,,,,,,,,,,,,,,,
242,9,,,,,,,,,,,,,,,,,,,,,,,,
244,9,,,,,,,,,,,,,,,,,,,,,,,,
246,9,,,,,,,,,,,,,,,,,,,,,,,,
248,9,,,,,,,,,,,,,,,,,,,,,,,,
250,9,,,,,,,,,,,,,,,,,,,,,,,,
252,9,,,,,,,,,,,,,,,,,,,,,,,,
254,9,,,,,,,,,,,,,,,,,,,,,,,,
256,9,,,,,,,,,,,,,,,,,,,,,,,,
258,10,,,,,,,,,,,,,,,,,,,,,,,,
260,10,,,,,,,,,,,,,,,,,,,,,,,,
262,10,,,,,,,,,,,,,,,,,,,,,,,,
264,10,,,,,,,,,,,,,,,,,,,,,,,,
266,10,,,,,,,,,,,,,,,,,,,,,,,,
268,10,,,,,,,,,,,,,,,,,,,,,,,,
270,11,,,,,,,,,,,,,,,,,,,,,,,,
272,10,,,,,,,,,,,,,,,,,,,,,,,,
274,10,,,,,,,,,,,,,,,,,,,,,,,,
276,11,,,,,,,,,,,,,,,,,,,,,,,,
278,10,,,,,,,,,,,,,,,,,,,,,,,,
280,10,,,,,,,,,,,,,,,,,,,,,,,,
282,10,,,,,,,,,,,,,,,,,,,,,,,,
284,10,,,,,,,,,,,,,,,,,,,,,,,,
286,10,,,,,,,,,,,,,,,,,,,,,,,,
288,11,,,,,,,,,,,,,,,,,,,,,,,,
290,11,,,,,,,,,,,,,,,,,,,,,,,,
292,10,,,,,,,,,,,,,,,,,,,,,,,,
294,10,,,,,,,,,,,,,,,,,,,,,,,,
296,10,,,,,,,,,,,,,,,,,,,,,,,,
298,10,,,,,,,,,,,,,,,,,,,,,,,,
300,11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 60000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,,,,,,,,,,,,,
4,9,,,,,,,,,,,,,,,,,,,,,,,,
6,9,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,,,,,,,,,,,,,,,,,,,,,,,
10,8,,,,,,,,,,,,,,,,,,,,,,,,
12,8,,,,,,,,,,,,,,,,,,,,,,,,
14,8,,,,,,,,,,,,,,,,,,,,,,,,
16,8,,,,,,,,,,,,,,,,,,,,,,,,
18,9,,,,,,,,,,,,,,,,,,,,,,,,
20,8,,,,,,,,,,,,,,,,,,,,,,,,
22,8,,,,,,,,,,,,,,,,,,,,,,,,
24,8,,,,,,,,,,,,,,,,,,,,,,,,
26,8,,,,,,,,,,,,,,,,,,,,,,,,
28,8,,,,,,,,,,,,,,,,,,,,,,,,
30,9,,,,,,,,,,,,,,,,,,,,,,,,
32,9,,,,,,,,,,,,,,,,,,,,,,,,
34,9,,,,,,,,,,,,,,,,,,,,,,,,
36,11,,,,,,,,,,,,,,,,,,,,,,,,
38,10,,,,,,,,,,,,,,,,,,,,,,,,
40,9,,,,,,,,,,,,,,,,,,,,,,,,
42,10,,,,,,,,,,,,,,,,,,,,,,,,
44,9,,,,,,,,,,,,,,,,,,,,,,,,
46,9,,,,,,,,,,,,,,,,,,,,,,,,
48,9,,,,,,,,,,,,,,,,,,,,,,,,
50,9,,,,,,,,,,,,,,,,,,,,,,,,
52,10,,,,,,,,,,,,,,,,,,,,,,,,
54,9,,,,,,,,,,,,,,,,,,,,,,,,
56,9,,,,,,,,,,,,,,,,,,,,,,,,
58,9,,,,,,,,,,,,,,,,,,,,,,,,
60,9,,,,,,,,,,,,,,,,,,,,,,,,
62,9,,,,,,,,,,,,,,,,,,,,,,,,
64,9,,,,,,,,,,,,,,,,,,,,,,,,
66,9,,,,,,,,,,,,,,,,,,,,,,,,
68,9,,,,,,,,,,,,,,,,,,,,,,,,
70,9,,,,,,,,,,,,,,,,,,,,,,,,
72,9,,,,,,,,,,,,,,,,,,,,,,,,
74,10,,,,,,,,,,,,,,,,,,,,,,,,
